PyScript, Energy (Joule)
bench_plot_lasso_path_111.py,113.03609251461988
bench_plot_lasso_path_138.py,472.6897974659341
plot_svm_anova.py,14.360338222222222
plot_ard.py,23.911493388235296
bench_tree_n1_5_n2_9.py,134.1148354379471
bench_plot_lasso_path_82.py,299.0936270275689
plot_kmeans_digits.py,26.912000526315794
plot_roc.py,11.928575433070867
bench_plot_lasso_path_153.py,672.9161309202127
bench_tree_n1_6_n2_10.py,178.75406156768247
bench_plot_fastkmeans.py,606.8433754830113
plot_sparse_cov.py,57.164713977671454
bench_plot_lasso_path_80.py,308.04585204751623
plot_linkage_comparison.py,33.18499407567567
plot_calibration_multiclass.py,20.565210876957497
plot_kmeans_assumptions.py,13.854006476190476
bench_plot_lasso_path_96.py,366.6365450470347
bench_plot_lasso_path_56.py,105.0726653873684
plot_lasso_and_elasticnet.py,10.884340136585365
bench_tree_n1_5_n2_3.py,112.76848654970325
bench_tree_n1_7_n2_10.py,211.11517330410746
bench_plot_lasso_path_151.py,527.4167788388761
bench_tree_n1_10_n2_1.py,433.45914561286526
bench_plot_lasso_path_131.py,267.2086998688525
plot_calibration_curve.py,32.682801133603235
bench_tree_n1_3_n2_9.py,79.47785345263725
plot_partial_dependence_visualization_api.py,152.49249879026732
bench_tree_n1_4_n2_3.py,90.39138618971214
bench_plot_lasso_path_123.py,205.9155702699144
bench_plot_lasso_path_38.py,135.75601831272087
bench_isolation_forest.py,825.2148505630689
bench_plot_lasso_path_125.py,269.7143634061939
bench_plot_lasso_path_35.py,145.04801108514056
plot_gradient_boosting_categorical.py,431.37340747535933
bench_plot_lasso_path_120.py,186.68553076923078
plot_gpc.py,1032.922182352588
bench_plot_lasso_path_112.py,118.20204607010712
plot_multioutput_face_completion.py,60.304384605464485
plot_theilsen.py,19.372878440281028
plot_f_test_vs_mi.py,11.230720939130434
bench_plot_lasso_path_108.py,93.20483649635037
plot_gmm_pdf.py,11.121489802816901
plot_ols.py,10.953930102564101
bench_tree_n1_3_n2_1.py,56.535340644274804
plot_pcr_vs_pls.py,13.551673694117646
bench_tree_n1_3_n2_10.py,82.81647277233283
bench_plot_neighbors.py,95.7198631399103
bench_plot_lasso_path_148.py,443.26994897619886
plot_bayesian_ridge.py,14.551647000000003
bench_tree_n1_3_n2_2.py,53.57701435562549
bench_plot_lasso_path_12.py,95.86222141935485
plot_gpr_on_structured_data.py,10.868440478468898
plot_rbm_logistic_classification.py,127.09900548582998
plot_multi_task_lasso_support.py,10.550875422413792
plot_grid_search_digits.py,54.39660338198065
plot_random_dataset.py,11.45505228744939
plot_dict_face_patches.py,163.062918716392
bench_plot_lasso_path_127.py,261.4719222346286
bench_tree_n1_6_n2_4.py,164.63324216606497
bench_tree_n1_3_n2_7.py,67.13062224528302
bench_tree_n1_5_n2_1.py,116.85915694416245
bench_plot_lasso_path_69.py,155.33211043386245
bench_sgd_regression.py,88.70122827565085
plot_document_clustering.py,20.127829254587155
bench_hist_gradient_boosting_adult.py,65.12792264542935
plot_concentration_prior.py,95.90560703493647
bench_plot_lasso_path_49.py,109.53048903501947
plot_document_classification_20newsgroups.py,56.76754800684931
plot_kernel_pca.py,23.030026084033615
plot_random_multilabel_dataset.py,11.110234879166669
plot_iris_dtc.py,18.80530496163683
Energy_Profiling_on_nano.csv.save.1,1.12025040625
bench_plot_lasso_path_78.py,188.57936521883923
bench_plot_lasso_path_76.py,192.26240897604788
bench_plot_lasso_path_8.py,88.1160517574932
bench_plot_lasso_path_109.py,88.40753038404728
bench_tree_n1_3_n2_6.py,63.08843262075848
plot_nnls.py,9.80272253968254
bench_plot_lasso_path_97.py,344.7911682546858
bench_tree_n1_2_n2_10.py,57.82156069214132
plot_lasso_dense_vs_sparse_data.py,28.190941276231268
plot_bicluster_newsgroups.py,107.38927430000001
plot_digits_agglomeration.py,13.705317367697592
plot_gpr_noisy.py,115.75466316798199
bench_plot_lasso_path_58.py,86.79224559550562
plot_adjusted_for_chance_measures.py,23.441646119230768
plot_topics_extraction_with_nmf_lda.py,117.63548747380675
bench_plot_lasso_path_114.py,143.3077387337381
bench_glm.py,132.2472208001605
bench_plot_lasso_path_105.py,80.91247802857143
plot_classification_probability.py,214.88200950698976
plot_roc_curve_visualization_api.py,10.986358024896264
bench_tree_n1_7_n2_1.py,202.73798079368373
plot_spectral_coclustering.py,12.819997475409838
bench_plot_lasso_path_41.py,100.6004235912052
plot_svm_kernels.py,11.688851265306123
energy_parser.pyc,1.082406064516129
plot_kmeans_plusplus.py,11.3372457
bench_tree_n1_1_n2_6.py,30.98841141325811
plot_ridge_path.py,14.405025383259911
bench_plot_lasso_path_79.py,248.12594095190505
bench_tree_n1_9_n2_10.py,348.00227075661957
bench_tree_n1_4_n2_10.py,111.63351715707964
plot_adaboost_hastie_10_2.py,66.77355448528449
bench_tree_n1_1_n2_3.py,24.624713835714285
plot_hashing_vs_dict_vectorizer.py,42.280449823529416
bench_plot_lasso_path_100.py,401.0170865158077
bench_plot_lasso_path_19.py,103.93215265185184
bench_feature_expansions.py,16.5048516
